algo,OSCNN,CTN_V3,nne,MultiRocket,ConvTime,CTN_NT,fawaz
FiftyWords,0.4197802197802197,0.4439560174942017,0.4901098608970642,0.7032967032967032,0.3912087678909302,0.4395604133605957,0.6065934002399445
Adiac,0.5524296675191815,0.3810741901397705,0.4961636662483215,0.4833759590792839,0.5703324675559998,0.5601023137569427,0.3810741901397705
ArrowHead,0.4628571428571429,0.38857142857142857,0.4742857217788696,0.38857142857142857,0.3999999761581421,0.5085714161396027,0.4457142949104309
Beef,0.5666666666666667,0.6333333253860474,0.5999999940395355,0.6333333333333333,0.7333333194255829,0.7666666656732559,0.7333333194255829
BeetleFly,0.30000000000000004,0.1499999761581421,0.3999999761581421,0.65,0.19999998807907104,0.19999998807907104,0.1499999761581421
BirdChicken,0.30000000000000004,0.25,0.25,0.4,0.550000011920929,0.550000011920929,0.3999999761581421
CBF,0.1611111111111111,0.2300000190734864,0.15444445610046387,0.2644444444444445,0.25555557012557983,0.2533333301544189,0.20555555820465088
Car,0.4166666666666666,0.699999988079071,0.4333333373069763,0.4833333333333333,0.6666666567325592,0.8166666626930237,0.7166666686534882
ChlorineConcentration,0.5036458333333333,0.4997395873069763,0.4596354365348816,0.44505208333333335,0.5020833313465118,0.4825521111488342,0.4981771111488342
CinCECGtorso,0.4746376811594203,0.4898550510406494,0.5028985440731049,0.4405797101449276,0.5942029058933258,0.6340579688549042,0.6057971119880676
Coffee,0.1428571428571429,0.07142859697341919,0.2857142686843872,0.0357142,0.035714268684387214,0.07142859697341919,0.07142859697341919
Computers,0.484,0.44,0.3640000224113464,0.44,0.35600000619888306,0.2839999794960022,0.31199997663497925
CricketX,0.4384615384615385,0.4897435903549194,0.4897435903549194,0.4307692307692308,0.4384615421295166,0.4435897469520569,0.4307692050933838
CricketY,0.5,0.5205128192901611,0.5076923072338104,0.4846153846153847,0.428205132484436,0.4205127954483032,0.5076923072338104
CricketZ,0.37948717948717947,0.4435897469520569,0.4615384340286255,0.44102564102564096,0.4076923131942749,0.42307692766189575,0.4769230484962464
DiatomSizeReduction,0.12745098039215685,0.12745098039215685,0.13725489377975464,0.1470588235294118,0.2908496856689453,0.2352941036224365,0.2647058963775635
DistalPhalanxOutlineAgeGroup,0.27338129496402874,0.3525179624557495,0.38129496574401855,0.46043165467625896,0.3956834673881531,0.38129496574401855,0.2805755138397217
DistalPhalanxOutlineCorrect,0.2318840579710145,0.22101449966430664,0.22101449966430664,0.2608695652173913,0.23188406229019165,0.23188406229019165,0.2572463750839233
DistalPhalanxTW,0.366906474820144,0.3956834673881531,0.4316546916961671,0.4244604316546763,0.3884891867637634,0.3956834673881531,0.366906464099884
ECG5000,0.0755555555555556,0.11355555057525635,0.08044445514678955,0.06488888888888887,0.10866665840148926,0.11733335256576538,0.10088890790939332
ECGFiveDays,0.389082462253194,0.3147502903600464,0.3019744753837585,0.3147502903600464,0.27642273902893066,0.2636469006538391,0.2787456512451172
Earthquakes,0.28057553956834536,0.2517985701560974,0.26618707180023193,0.244604,0.24460428953170776,0.2517985701560974,0.2517985701560974
ElectricDevices,0.36661911554921545,0.3225262761116028,0.354817807674408,0.30475943457398524,0.3482038378715515,0.33653223514556885,0.3045000433921814
Fish,0.12,0.12,0.19428569078445435,0.20571428571428574,0.2628571391105652,0.2857142686843872,0.22285711765289307
FaceAll,0.18224852071005915,0.336686372756958,0.33313608169555664,0.2710059171597633,0.2656804919242859,0.3153846263885498,0.27869820594787603
FaceFour,0.28409090909090906,0.21590906381607056,0.07954543828964232,0.125,0.2613636255264282,0.125,0.25
FacesUCR,0.2882926829268293,0.3526829481124878,0.34439027309417725,0.546829268292683,0.37853658199310297,0.3243902325630188,0.3580487966537476
FordA,0.0613636363636364,0.05378788709640503,0.06818181276321411,0.0636363636363636,0.05681818723678589,0.05378788709640503,0.10303032398223876
FordB,0.2395061728395061,0.2518518567085266,0.2419753074645996,0.2271604938271605,0.19629627466201785,0.2407407164573669,0.2925925850868225
GunPoint,0.4733333333333334,0.2666666507720947,0.4800000190734863,0.30666666666666664,0.31333333253860474,0.29333335161209106,0.3399999737739563
Ham,0.41904761904761895,0.361905,0.3619047403335571,0.35238095238095235,0.3904761672019959,0.3904761672019959,0.4380952119827271
HandOutlines,0.1702702702702703,0.07567566633224487,0.08648645877838135,0.08108108108108103,0.2405405640602112,0.20540541410446167,0.15405404567718506
Haptics,0.6396103896103896,0.7077922224998474,0.701298713684082,0.6428571428571428,0.7240259647369385,0.6818181872367859,0.7110389471054077
Herring,0.40625,0.453125,0.453125,0.375,0.484375,0.4375,0.515625
InlineSkate,0.8109090909090909,0.7890909165143967,0.7800000011920929,0.754545,0.7963636368513107,0.7545454502105713,0.7800000011920929
InsectWingbeatSound,0.6242424242424243,0.5494949519634247,0.6676767766475677,0.6227272727272728,0.5833333432674408,0.5994949638843536,0.8080808073282242
ItalyPowerDemand,0.1720116618075802,0.08066082000732422,0.12925171852111814,0.13508260447035958,0.08066082000732422,0.09718173742294313,0.1409134864807129
LargeKitchenAppliances,0.136,0.2293333411216736,0.15733331441879272,0.18666666666666665,0.23466664552688601,0.17066669464111328,0.20266664028167725
Lightning2,0.3934426229508197,0.3606557250022888,0.31147539615631104,0.4262295081967213,0.3442623019218445,0.31147539615631104,0.3770492076873779
Lightning7,0.2876712328767124,0.6027397215366364,0.5068493187427521,0.5342465753424658,0.4794520735740662,0.6027397215366364,0.4931507110595703
Mallat,0.2260127931769723,0.1351812481880188,0.1829424500465393,0.14541577825159913,0.14712154865264893,0.1965884566307068,0.14754796028137207
Meat,0.09999999999999998,0.06666666269302368,0.2333333492279053,0.06666666666666665,0.06666666269302368,0.08333331346511841,0.11666667461395265
MedicalImages,0.4552631578947368,0.41578948497772217,0.4868420958518982,0.4986842105263158,0.4802631735801697,0.49210524559021,0.41578948497772217
MiddlePhalanxOutlineAgeGroup,0.512987012987013,0.6363636255264282,0.5389610528945923,0.3831168831168831,0.5909090936183929,0.6038961112499237,0.558441549539566
MiddlePhalanxOutlineCorrect,0.3264604810996563,0.2508590817451477,0.27491408586502075,0.2646048109965635,0.2783505320549011,0.2955326437950134,0.2439862489700317
MiddlePhalanxTW,0.5324675324675325,0.5519480407238007,0.5194805264472961,0.4545454545454546,0.5519480407238007,0.5389610528945923,0.5129870176315308
MoteStrain,0.2659744408945687,0.2995207905769348,0.1437699794769287,0.4432907348242812,0.4169328808784485,0.4097443819046021,0.3929712176322937
NonInvasiveFetalECGThorax1,0.16234096692111954,0.1913486123085022,0.19999998807907104,0.13740458015267176,0.18575066328048706,0.1882951855659485,0.18167936801910398
NonInvasiveFetalECGThorax2,0.14452926208651395,0.18066155910491946,0.15114504098892212,0.11145038167938937,0.1552162766456604,0.1643766164779663,0.15725189447402954
OSULeaf,0.4462809917355372,0.3842975497245789,0.3264462947845459,0.27685950413223137,0.4586777091026306,0.4793388247489929,0.2933884263038635
OliveOil,0.6333333333333333,0.366667,0.3333333134651184,0.30000000000000004,0.5333333313465118,0.3999999761581421,0.36666667461395264
PhalangesOutlinesCorrect,0.2727272727272727,0.24475526809692386,0.2692307829856873,0.2400932400932401,0.2575757503509521,0.2645687460899353,0.250582754611969
Phoneme,0.8586497890295359,0.8676160275936127,0.8391350209712982,0.8539029535864979,0.8676160275936127,0.8597046434879303,0.8285865038633347
Plane,0.01904761904761909,0.1428571343421936,0.0476190447807312,0.0,0.08571428060531616,0.0476190447807312,0.0
ProximalPhalanxOutlineAgeGroup,0.24390243902439024,0.1317073106765747,0.2195122241973877,0.1707317073170732,0.2390244007110596,0.22439026832580566,0.1317073106765747
ProximalPhalanxOutlineCorrect,0.17182130584192434,0.2164948582649231,0.18556702136993408,0.17182130584192434,0.19243985414505005,0.18900340795516968,0.1477663516998291
ProximalPhalanxTW,0.2878048780487805,0.2097560975609756,0.2682926654815674,0.2097560975609756,0.2829268574714661,0.28780490159988403,0.2390244007110596
RefrigerationDevices,0.5493333333333333,0.5306666791439056,0.5360000133514404,0.47200000000000003,0.5119999945163727,0.5146666765213013,0.5439999997615814
ScreenType,0.6213333333333333,0.6213333308696747,0.5653333365917206,0.6426666666666667,0.6586666703224182,0.6666666567325592,0.4959999918937683
ShapeletSim,0.35,0.005555570125579834,0.2333333492279053,0.25,0.18333333730697632,0.2666666507720947,0.14444446563720706
ShapesAll,0.365,0.4300000071525574,0.3616666793823242,0.415,0.3333333134651184,0.34666669368743896,0.4033333063125609
SmallKitchenAppliances,0.3706666666666667,0.2586666941642761,0.22666668891906736,0.2266666666666667,0.2426666617393493,0.2693333625793457,0.2666666507720947
SonyAIBORobotSurface1,0.3327787021630616,0.31780366056572384,0.5074875354766846,0.31780366056572384,0.25124794244766235,0.4742096662521362,0.24126458168029785
SonyAIBORobotSurface2,0.08184679958027287,0.22350472211837769,0.1584470272064209,0.5718782791185729,0.2371458411216736,0.2339978814125061,0.08079749345779419
StarlightCurves,0.027440505099562862,0.03776103258132935,0.026833415031433102,0.024890723652258414,0.03654688596725464,0.5906993746757507,0.042132079601287835
Strawberry,0.06756756756756754,0.07297295331954956,0.062162160873413086,0.06756756756756754,0.09189188480377196,0.0648648738861084,0.08378380537033081
SwedishLeaf,0.1552,0.1552,0.2175999879837036,0.1856,0.2239999771118164,0.24639999866485604,0.18879997730255127
Symbols,0.0824120603015075,0.031155765056610107,0.04623115062713623,0.04120603015075375,0.11256283521652223,0.1035175919532776,0.10552763938903807
ToeSegmentation1,0.20175438596491224,0.201754,0.19736844301223755,0.3070175438596491,0.2456140518188477,0.2850877046585083,0.3552631735801697
ToeSegmentation2,0.09230769230769233,0.09230769230769233,0.16923075914382935,0.23076923076923075,0.192307710647583,0.2692307829856873,0.307692289352417
Trace,0.02000000000000001,0.029999971389770508,0.05000001192092896,0.0,0.1899999976158142,0.029999971389770508,0.029999971389770508
TwoLeadECG,0.340649692712906,0.395961344242096,0.34855133295059204,0.3775241439859526,0.20983320474624634,0.2054433822631836,0.20105355978012085
TwoPatterns,0.009000000000000008,0.01849997043609619,0.0040000081062316895,0.01124999999999998,0.0,0.000500023365020752,0.2390000224113465
UWaveGestureLibraryAll,0.2079843662758235,0.09771077610273593,0.2816861867904663,0.09771077610273593,0.2244555950164795,0.2395309805870056,0.3997766375541687
Wine,0.4444444444444444,0.5555555522441864,0.6666666567325592,0.3888888888888888,0.5740740597248077,0.4259259104728699,0.5
WordSynonyms,0.5329153605015674,0.5517241358757019,0.5626959204673767,0.6927899686520376,0.592476487159729,0.5611285269260406,0.6802507936954498
Worms,0.3376623376623377,0.37662339210510254,0.37662339210510254,0.2727272727272727,0.298701286315918,0.3896104097366333,0.350649356842041
WormsTwoClass,0.2467532467532467,0.22077924013137806,0.2337662577629089,0.2467532467532467,0.37662339210510254,0.2597402334213257,0.2467532753944397
SyntheticControl,0.006666666666666711,0.07666665315628053,0.009999990463256836,0.030000000000000027,0.01333332061767578,0.006666660308837891,0.06999999284744263
UWaveGestureLibraryX,0.2805695142378559,0.3068118095397949,0.30625349283218384,0.2065884980457845,0.3176996111869812,0.3216080665588379,0.3997766375541687
UWaveGestureLibraryY,0.4374651032942489,0.3911222815513611,0.464265763759613,0.35203796761585704,0.4154103994369507,0.4070351719856262,0.5234505832195282
UWaveGestureLibraryZ,0.3849804578447794,0.3358458876609802,0.391401469707489,0.3587381351200447,0.33863765001297,0.3358458876609802,0.409547746181488
Wafer,0.02141466580142759,0.016385436058044434,0.02530825138092041,0.0194678780012979,0.0288773775100708,0.02839064598083496,0.03569108247756958
Yoga,0.326,0.3426666855812073,0.312333345413208,0.4166666666666666,0.3723333477973938,0.3606666922569275,0.32833331823349
ECG200,0.24,0.18000000000000005,0.25,0.18000000000000005,0.30000001192092896,0.25999999046325684,0.2799999713897705
FiftyWords_rank,2.0,4.0,5.0,7.0,1.0,3.0,6.0
Adiac_rank,5.0,2.0,4.0,3.0,7.0,6.0,1.0
ArrowHead_rank,5.0,3.0,6.0,1.0,2.0,7.0,4.0
Beef_rank,1.0,3.0,2.0,4.0,5.0,7.0,5.0
BeetleFly_rank,5.0,1.0,6.0,7.0,3.0,3.0,1.0
BirdChicken_rank,2.0,3.0,1.0,5.0,6.0,6.0,3.0
CBF_rank,2.0,4.0,1.0,7.0,6.0,5.0,3.0
Car_rank,1.0,5.0,2.0,3.0,4.0,7.0,6.0
ChlorineConcentration_rank,7.0,5.0,2.0,1.0,6.0,3.0,4.0
CinCECGtorso_rank,2.0,3.0,4.0,1.0,5.0,7.0,6.0
Coffee_rank,6.0,3.0,7.0,2.0,1.0,3.0,3.0
Computers_rank,7.0,1.0,5.0,6.0,4.0,2.0,3.0
CricketX_rank,3.0,6.0,6.0,2.0,4.0,5.0,1.0
CricketY_rank,4.0,7.0,5.0,3.0,2.0,1.0,5.0
CricketZ_rank,1.0,5.0,6.0,4.0,2.0,3.0,7.0
DiatomSizeReduction_rank,1.0,4.0,2.0,3.0,7.0,5.0,6.0
DistalPhalanxOutlineAgeGroup_rank,1.0,3.0,4.0,7.0,6.0,4.0,2.0
DistalPhalanxOutlineCorrect_rank,2.0,3.0,1.0,7.0,3.0,3.0,6.0
DistalPhalanxTW_rank,2.0,4.0,7.0,6.0,3.0,4.0,1.0
ECG5000_rank,2.0,6.0,3.0,1.0,5.0,7.0,4.0
ECGFiveDays_rank,7.0,1.0,5.0,6.0,3.0,2.0,4.0
Earthquakes_rank,7.0,1.0,6.0,3.0,1.0,4.0,4.0
ElectricDevices_rank,7.0,3.0,6.0,2.0,5.0,4.0,1.0
Fish_rank,1.0,3.0,2.0,4.0,6.0,7.0,5.0
FaceAll_rank,1.0,7.0,6.0,3.0,2.0,5.0,4.0
FaceFour_rank,7.0,4.0,1.0,2.0,6.0,2.0,5.0
FacesUCR_rank,1.0,4.0,3.0,7.0,6.0,2.0,5.0
FordA_rank,4.0,3.0,6.0,5.0,2.0,1.0,7.0
FordB_rank,3.0,6.0,5.0,2.0,1.0,4.0,7.0
GunPoint_rank,6.0,1.0,7.0,3.0,4.0,2.0,5.0
Ham_rank,6.0,1.0,3.0,2.0,4.0,4.0,7.0
HandOutlines_rank,5.0,1.0,3.0,2.0,7.0,6.0,4.0
Haptics_rank,1.0,5.0,4.0,2.0,7.0,3.0,6.0
Herring_rank,2.0,4.0,4.0,1.0,6.0,3.0,7.0
InlineSkate_rank,7.0,5.0,3.0,2.0,6.0,1.0,3.0
InsectWingbeatSound_rank,5.0,1.0,6.0,4.0,2.0,3.0,7.0
ItalyPowerDemand_rank,7.0,2.0,4.0,5.0,1.0,3.0,6.0
LargeKitchenAppliances_rank,1.0,6.0,2.0,4.0,7.0,3.0,5.0
Lightning2_rank,6.0,4.0,1.0,7.0,3.0,1.0,5.0
Lightning7_rank,1.0,3.0,5.0,6.0,2.0,7.0,3.0
Mallat_rank,7.0,1.0,5.0,2.0,3.0,6.0,4.0
Meat_rank,5.0,1.0,7.0,3.0,1.0,4.0,6.0
MedicalImages_rank,2.0,3.0,5.0,7.0,4.0,6.0,1.0
MiddlePhalanxOutlineAgeGroup_rank,2.0,7.0,3.0,1.0,5.0,6.0,4.0
MiddlePhalanxOutlineCorrect_rank,7.0,2.0,4.0,3.0,5.0,6.0,1.0
MiddlePhalanxTW_rank,4.0,6.0,3.0,1.0,6.0,5.0,2.0
MoteStrain_rank,2.0,3.0,1.0,7.0,6.0,5.0,4.0
NonInvasiveFetalECGThorax1_rank,2.0,6.0,7.0,1.0,4.0,5.0,3.0
NonInvasiveFetalECGThorax2_rank,2.0,7.0,3.0,1.0,4.0,6.0,5.0
OSULeaf_rank,5.0,4.0,3.0,1.0,6.0,7.0,2.0
OliveOil_rank,7.0,6.0,2.0,1.0,5.0,4.0,3.0
PhalangesOutlinesCorrect_rank,7.0,2.0,6.0,1.0,4.0,5.0,3.0
Phoneme_rank,5.0,3.0,2.0,4.0,7.0,6.0,1.0
Plane_rank,3.0,7.0,4.0,1.0,6.0,4.0,1.0
ProximalPhalanxOutlineAgeGroup_rank,7.0,2.0,4.0,3.0,6.0,5.0,1.0
ProximalPhalanxOutlineCorrect_rank,2.0,7.0,4.0,2.0,6.0,5.0,1.0
ProximalPhalanxTW_rank,6.0,2.0,4.0,1.0,5.0,7.0,3.0
RefrigerationDevices_rank,7.0,4.0,5.0,1.0,2.0,3.0,6.0
ScreenType_rank,4.0,3.0,2.0,5.0,6.0,7.0,1.0
ShapeletSim_rank,7.0,1.0,4.0,5.0,3.0,6.0,2.0
ShapesAll_rank,4.0,7.0,3.0,6.0,1.0,2.0,5.0
SmallKitchenAppliances_rank,7.0,4.0,2.0,1.0,3.0,6.0,5.0
SonyAIBORobotSurface1_rank,5.0,1.0,7.0,4.0,3.0,6.0,2.0
SonyAIBORobotSurface2_rank,2.0,4.0,3.0,7.0,6.0,5.0,1.0
StarlightCurves_rank,3.0,5.0,2.0,1.0,4.0,7.0,6.0
Strawberry_rank,3.0,5.0,1.0,3.0,7.0,2.0,6.0
SwedishLeaf_rank,1.0,3.0,5.0,2.0,6.0,7.0,3.0
Symbols_rank,4.0,1.0,3.0,2.0,7.0,5.0,6.0
ToeSegmentation1_rank,2.0,6.0,1.0,5.0,3.0,4.0,7.0
ToeSegmentation2_rank,1.0,2.0,2.0,5.0,4.0,6.0,7.0
Trace_rank,3.0,1.0,6.0,1.0,7.0,4.0,4.0
TwoLeadECG_rank,4.0,7.0,5.0,6.0,3.0,2.0,1.0
TwoPatterns_rank,4.0,6.0,3.0,5.0,1.0,2.0,7.0
UWaveGestureLibraryAll_rank,3.0,2.0,6.0,1.0,4.0,5.0,7.0
Wine_rank,3.0,5.0,7.0,1.0,6.0,2.0,4.0
WordSynonyms_rank,1.0,2.0,4.0,7.0,5.0,3.0,6.0
Worms_rank,3.0,5.0,5.0,1.0,2.0,7.0,4.0
WormsTwoClass_rank,3.0,1.0,2.0,3.0,7.0,6.0,5.0
SyntheticControl_rank,2.0,7.0,3.0,5.0,4.0,1.0,6.0
UWaveGestureLibraryX_rank,2.0,4.0,3.0,1.0,5.0,6.0,7.0
UWaveGestureLibraryY_rank,5.0,2.0,6.0,1.0,4.0,3.0,7.0
UWaveGestureLibraryZ_rank,5.0,3.0,6.0,4.0,2.0,1.0,7.0
Wafer_rank,3.0,1.0,4.0,2.0,6.0,5.0,7.0
Yoga_rank,2.0,4.0,1.0,7.0,6.0,5.0,3.0
ECG200_rank,,2.0,2.0,1.0,6.0,4.0,5.0
